"id","title","author","genre","year","description"
"4478","Great Expectations","Kathy Acker","Fiction;Feminism;Literature;LGBT;Classics;LGBT","1994","A book titled Great Expectations written by Kathy Acker belonging to the Fiction;Feminism;Literature;LGBT;Classics;LGBT genre."
"4479","Desert Queen: The Extraordinary Life of Gertrude Bell: Adventurer  Adviser to Kings  Ally of Lawrence of Arabia","Janet Wallach","Biography;History;Nonfiction;Travel;Adventure;Biography Memoir;Womens;Historical;War;History","2005","A book titled Desert Queen: The Extraordinary Life of Gertrude Bell: Adventurer  Adviser to Kings  Ally of Lawrence of Arabia written by Janet Wallach belonging to the Biography;History;Nonfiction;Travel;Adventure;Biography Memoir;Womens;Historical;War;History genre."
"4480","Queen of the Scene","Queen Latifah/Frank Morrison","Childrens","2006","A book titled Queen of the Scene written by Queen Latifah/Frank Morrison belonging to the Childrens genre."
"4481","The Red Queen: Sex and the Evolution of Human Nature","Matt Ridley","Science;Nonfiction;Science","2003","A book titled The Red Queen: Sex and the Evolution of Human Nature written by Matt Ridley belonging to the Science;Nonfiction;Science genre."
"4482","The Sweet Potato Queens' Big-Ass Cookbook (and Financial Planner)","Jill Conner Browne","Humor;Nonfiction;Food and Drink","2003","A book titled The Sweet Potato Queens' Big-Ass Cookbook (and Financial Planner) written by Jill Conner Browne belonging to the Humor;Nonfiction;Food and Drink genre."
"4483","Dairy Queen (Dairy Queen  #1)","Catherine Gilbert Murdock","Young Adult;Contemporary;Sports","2006","A book titled Dairy Queen (Dairy Queen  #1) written by Catherine Gilbert Murdock belonging to the Young Adult;Contemporary;Sports genre."
"4484","Sex with the Queen: 900 Years of Vile Kings  Virile Lovers  and Passionate Politics","Eleanor Herman","History;Nonfiction;Historical;Biography;Sexuality;History","2006","A book titled Sex with the Queen: 900 Years of Vile Kings  Virile Lovers  and Passionate Politics written by Eleanor Herman belonging to the History;Nonfiction;Historical;Biography;Sexuality;History genre."
"4485","The Boleyn Inheritance (The Plantagenet and Tudor Novels  #10)","Philippa Gregory","Historical","2006","A book titled The Boleyn Inheritance (The Plantagenet and Tudor Novels  #10) written by Philippa Gregory belonging to the Historical genre."
"4486","The Constant Princess (The Plantagenet and Tudor Novels  #6)","Philippa Gregory","Historical","2006","A book titled The Constant Princess (The Plantagenet and Tudor Novels  #6) written by Philippa Gregory belonging to the Historical genre."
"4487","The Favored Child (The Wideacre Trilogy  #2)","Philippa Gregory","Historical","2003","A book titled The Favored Child (The Wideacre Trilogy  #2) written by Philippa Gregory belonging to the Historical genre."
"4488","The Virgin's Lover (The Plantagenet and Tudor Novels  #13)","Philippa Gregory","Historical","2005","A book titled The Virgin's Lover (The Plantagenet and Tudor Novels  #13) written by Philippa Gregory belonging to the Historical genre."
"4489","Virgin Earth  (Tradescant  #2)","Philippa Gregory","Historical","2006","A book titled Virgin Earth  (Tradescant  #2) written by Philippa Gregory belonging to the Historical genre."
"4490","The Wise Woman","Philippa Gregory","Historical","2002","A book titled The Wise Woman written by Philippa Gregory belonging to the Historical genre."
"4491","Meridon (The Wideacre Trilogy  #3)","Philippa Gregory","Historical","2003","A book titled Meridon (The Wideacre Trilogy  #3) written by Philippa Gregory belonging to the Historical genre."
"4492","The Little House","Philippa Gregory","Fiction;Historical","1998","A book titled The Little House written by Philippa Gregory belonging to the Fiction;Historical genre."
"4493","Wideacre  (The Wideacre Trilogy  #1)","Philippa Gregory","Historical","2003","A book titled Wideacre  (The Wideacre Trilogy  #1) written by Philippa Gregory belonging to the Historical genre."
"4494","Un café lejos de aquí","Z.Z. Packer/María Pérez López de Heredia","Short Stories;Fiction;Cultural","2006","A book titled Un café lejos de aquí written by Z.Z. Packer/María Pérez López de Heredia belonging to the Short Stories;Fiction;Cultural genre."
"4495","You Can't Be Neutral on a Moving Train: A Personal History of Our Times","Howard Zinn","History;Nonfiction;Politics;Autobiography","2002","A book titled You Can't Be Neutral on a Moving Train: A Personal History of Our Times written by Howard Zinn belonging to the History;Nonfiction;Politics;Autobiography genre."
"4496","Declarations of Independence: Cross-Examining American Ideology","Howard Zinn","History;Politics;Nonfiction;North American Hi...","1991","A book titled Declarations of Independence: Cross-Examining American Ideology written by Howard Zinn belonging to the History;Politics;Nonfiction;North American Hi... genre."
"4497","Citas Celestiales","Alexander McCall Smith/Marta Torent López de Lamadrid","Short Stories;Fiction;Romance;Humor;Mystery;European Literature","2006","A book titled Citas Celestiales written by Alexander McCall Smith/Marta Torent López de Lamadrid belonging to the Short Stories;Fiction;Romance;Humor;Mystery;European Literature genre."
"4498","Ella Minnow Pea: A Novel in Letters","Mark Dunn","Fiction;Humor;Fantasy;Young Adult;Science Fiction","2002","A book titled Ella Minnow Pea: A Novel in Letters written by Mark Dunn belonging to the Fiction;Humor;Fantasy;Young Adult;Science Fiction genre."
"4499","Daisy Miller and Other Stories","Henry James/Jean Gooder","Classics;Fiction;Short Stories;Literature","1998","A book titled Daisy Miller and Other Stories written by Henry James/Jean Gooder belonging to the Classics;Fiction;Short Stories;Literature genre."
"4500","The Turn of the Screw/Daisy Miller","Henry James","Classics;Fiction;Horror;Short Stories;Gothic;Literature;Literature","1954","A book titled The Turn of the Screw/Daisy Miller written by Henry James belonging to the Classics;Fiction;Horror;Short Stories;Gothic;Literature;Literature genre."
"4501","The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus","Richard Preston","Nonfiction;Science;History;Medical;Health","1999","A book titled The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus written by Richard Preston belonging to the Nonfiction;Science;History;Medical;Health genre."
"4502","The Hot Zone: The Chilling True Story of an Ebola Outbreak","Richard   Preston","Nonfiction;Science;History;Medical;Health","1995","A book titled The Hot Zone: The Chilling True Story of an Ebola Outbreak written by Richard   Preston belonging to the Nonfiction;Science;History;Medical;Health genre."
"4503","Gardening with a Wild Heart: Restoring California's Native Landscapes at Home","Judith Larner Lowry","Horticulture","2007","A book titled Gardening with a Wild Heart: Restoring California's Native Landscapes at Home written by Judith Larner Lowry belonging to the Horticulture genre."
"4504","Teacher's Pet (Wild at Heart  #7)","Laurie Halse Anderson","Animals;Childrens","2001","A book titled Teacher's Pet (Wild at Heart  #7) written by Laurie Halse Anderson belonging to the Animals;Childrens genre."
"4505","Homeless (Wild at Heart  #2)","Laurie Halse Anderson/Mark Salisbury","Animals;Childrens;Fiction;Childrens","2000","A book titled Homeless (Wild at Heart  #2) written by Laurie Halse Anderson/Mark Salisbury belonging to the Animals;Childrens;Fiction;Childrens genre."
"4506","Hear the Wind Blow","Mary Downing Hahn","Historical","2003","A book titled Hear the Wind Blow written by Mary Downing Hahn belonging to the Historical genre."
"4507","Case Histories (Jackson Brodie #1)","Kate Atkinson","Mystery;Fiction;Mystery","2005","A book titled Case Histories (Jackson Brodie #1) written by Kate Atkinson belonging to the Mystery;Fiction;Mystery genre."
"4508","Three Case Histories","Sigmund Freud/Philip Rieff","Psychology;Psychology","1996","A book titled Three Case Histories written by Sigmund Freud/Philip Rieff belonging to the Psychology;Psychology genre."
"4509","Michael Tolliver Lives (Tales of the City  #7)","Armistead Maupin","Fiction;LGBT;LGBT","2007","A book titled Michael Tolliver Lives (Tales of the City  #7) written by Armistead Maupin belonging to the Fiction;LGBT;LGBT genre."
"4510","Back to Barbary Lane: The Tales of the City Omnibus (Tales of the City  #4-6)","Armistead Maupin","Fiction;LGBT;LGBT","1991","A book titled Back to Barbary Lane: The Tales of the City Omnibus (Tales of the City  #4-6) written by Armistead Maupin belonging to the Fiction;LGBT;LGBT genre."
"4511","The Intuitionist","Colson Whitehead","Fiction;Science Fiction;Mystery;Cultural","1999","A book titled The Intuitionist written by Colson Whitehead belonging to the Fiction;Science Fiction;Mystery;Cultural genre."
"4512","John Henry Days","Colson Whitehead","Fiction;Historical","2002","A book titled John Henry Days written by Colson Whitehead belonging to the Fiction;Historical genre."
"4513","Why Are All The Black Kids Sitting Together in the Cafeteria?: A Psychologist Explains the Development of Racial Identity","Beverly Daniel Tatum","Nonfiction;Race;Education;Social Movements","2003","A book titled Why Are All The Black Kids Sitting Together in the Cafeteria?: A Psychologist Explains the Development of Racial Identity written by Beverly Daniel Tatum belonging to the Nonfiction;Race;Education;Social Movements genre."
"4514","The Custard Kid (Black Cats)","Terry Deary","Childrens stories","2001","A book titled The Custard Kid (Black Cats) written by Terry Deary belonging to the Childrens stories genre."
"4515","The Magus","John Fowles","Fiction;Classics;Fantasy;Mystery;Literature;Novels;Literary Fiction;Cultural","2001","A book titled The Magus written by John Fowles belonging to the Fiction;Classics;Fantasy;Mystery;Literature;Novels;Literary Fiction;Cultural genre."
"4516","The Magus of Freemasonry: The Mysterious Life of Elias Ashmole—Scientist  Alchemist  and Founder of the Royal Society","Tobias Churton","History;Biography","2006","A book titled The Magus of Freemasonry: The Mysterious Life of Elias Ashmole—Scientist  Alchemist  and Founder of the Royal Society written by Tobias Churton belonging to the History;Biography genre."
"4517","The Myth of the Magus (Canto Original)","Elizabeth M. Butler","Religion;History","1993","A book titled The Myth of the Magus (Canto Original) written by Elizabeth M. Butler belonging to the Religion;History genre."
"4518","Cards on the Table (Hercule Poirot  #15)","Agatha Christie","Mystery;Fiction;Mystery","2005","A book titled Cards on the Table (Hercule Poirot  #15) written by Agatha Christie belonging to the Mystery;Fiction;Mystery genre."
"4519","A Murder Is Announced (Miss Marple  #5)","Agatha Christie","Mystery;Fiction;Mystery","2006","A book titled A Murder Is Announced (Miss Marple  #5) written by Agatha Christie belonging to the Mystery;Fiction;Mystery genre."
"4520","And Then There Were None","Agatha Christie","Mystery;Classics;Fiction;Mystery","2004","A book titled And Then There Were None written by Agatha Christie belonging to the Mystery;Classics;Fiction;Mystery genre."
"4521","Sleeping Murder (Miss Marple  #13)","Agatha Christie","Mystery;Fiction;Mystery","2003","A book titled Sleeping Murder (Miss Marple  #13) written by Agatha Christie belonging to the Mystery;Fiction;Mystery genre."
"4522","Agatha Christie: An Autobiography","Agatha Christie/Robert Welch Herrick","Nonfiction;Biography;Biography","2001","A book titled Agatha Christie: An Autobiography written by Agatha Christie/Robert Welch Herrick belonging to the Nonfiction;Biography;Biography genre."
"4523","Murder on the Orient Express (Hercule Poirot  #10)","Agatha Christie","Mystery;Classics;Fiction;Mystery","2004","A book titled Murder on the Orient Express (Hercule Poirot  #10) written by Agatha Christie belonging to the Mystery;Classics;Fiction;Mystery genre."
"4524","Evil Under the Sun (Hercule Poirot  #24)","Agatha Christie","Mystery;Fiction;Mystery","2006","A book titled Evil Under the Sun (Hercule Poirot  #24) written by Agatha Christie belonging to the Mystery;Fiction;Mystery genre."
"4525","Hallowe'en Party (Hercule Poirot  #39)","Agatha Christie","Mystery;Fiction;Mystery","2001","A book titled Hallowe'en Party (Hercule Poirot  #39) written by Agatha Christie belonging to the Mystery;Fiction;Mystery genre."
"4526","One  Two  Buckle My Shoe (Hercule Poirot  #23)","Agatha Christie/Hugh Fraser","Mystery;Fiction;Mystery","2004","A book titled One  Two  Buckle My Shoe (Hercule Poirot  #23) written by Agatha Christie/Hugh Fraser belonging to the Mystery;Fiction;Mystery genre."
"4527","A Caribbean Mystery","Agatha Christie/Rosalind Ayres","Mystery;Fiction;Mystery","2006","A book titled A Caribbean Mystery written by Agatha Christie/Rosalind Ayres belonging to the Mystery;Fiction;Mystery genre."
"4528","Crooked House","Agatha Christie","Mystery;Fiction;Classics;Mystery","2002","A book titled Crooked House written by Agatha Christie belonging to the Mystery;Fiction;Classics;Mystery genre."
"4529","The Body in the Library (Miss Marple  #3)","Agatha Christie","Mystery;Fiction;Mystery","2006","A book titled The Body in the Library (Miss Marple  #3) written by Agatha Christie belonging to the Mystery;Fiction;Mystery genre."
"4530","Witness for the Prosecution and Selected Plays","Agatha Christie","Mystery;Mystery","1995","A book titled Witness for the Prosecution and Selected Plays written by Agatha Christie belonging to the Mystery;Mystery genre."
"4531","The A.B.C. Murders (Hercule Poirot  #13)","Agatha Christie","Mystery;Fiction;Classics;Mystery","2006","A book titled The A.B.C. Murders (Hercule Poirot  #13) written by Agatha Christie belonging to the Mystery;Fiction;Classics;Mystery genre."
"4532","Partners in Crime (Tommy and Tuppence #2)","Agatha Christie","Mystery;Fiction;Mystery","2001","A book titled Partners in Crime (Tommy and Tuppence #2) written by Agatha Christie belonging to the Mystery;Fiction;Mystery genre."
"4533","The Murder of Roger Ackroyd (Hercule Poirot  #4)","Agatha Christie","Mystery;Fiction;Classics;Mystery","2006","A book titled The Murder of Roger Ackroyd (Hercule Poirot  #4) written by Agatha Christie belonging to the Mystery;Fiction;Classics;Mystery genre."
"4534","Dead Man's Folly (Hercule Poirot  #33)","Agatha Christie/David Suchet","Mystery;Fiction;Mystery","2006","A book titled Dead Man's Folly (Hercule Poirot  #33) written by Agatha Christie/David Suchet belonging to the Mystery;Fiction;Mystery genre."
"4535","Poirot's Early Cases: 18 Hercule Poirot Mysteries (Hercule Poirot  #41)","Agatha Christie/Hugh Fraser/David Suchet","Mystery;Mystery","2005","A book titled Poirot's Early Cases: 18 Hercule Poirot Mysteries (Hercule Poirot  #41) written by Agatha Christie/Hugh Fraser/David Suchet belonging to the Mystery;Mystery genre."
"4536","Murder at the Vicarage (Miss Marple  #1)","Agatha Christie","Mystery;Fiction;Classics;Mystery","2006","A book titled Murder at the Vicarage (Miss Marple  #1) written by Agatha Christie belonging to the Mystery;Fiction;Classics;Mystery genre."
"4537","The Listerdale Mystery And Eleven Other Stories","Agatha Christie/Hugh Fraser","Mystery;Short Stories;Mystery","2006","A book titled The Listerdale Mystery And Eleven Other Stories written by Agatha Christie/Hugh Fraser belonging to the Mystery;Short Stories;Mystery genre."
"4538","The Mystery of the Blue Train (Hercule Poirot  #6)","Agatha Christie","Mystery;Fiction;Mystery","2007","A book titled The Mystery of the Blue Train (Hercule Poirot  #6) written by Agatha Christie belonging to the Mystery;Fiction;Mystery genre."
"4539","The Unexpected Guest: A Play In Two Acts","Agatha Christie","Mystery;Mystery","2010","A book titled The Unexpected Guest: A Play In Two Acts written by Agatha Christie belonging to the Mystery;Mystery genre."
"4540","After the Funeral","Agatha Christie","Mystery;Fiction;Mystery","2001","A book titled After the Funeral written by Agatha Christie belonging to the Mystery;Fiction;Mystery genre."
"4541","Cat Among the Pigeons (Hercule Poirot  #34)","Agatha Christie","Mystery;Fiction;Mystery","2005","A book titled Cat Among the Pigeons (Hercule Poirot  #34) written by Agatha Christie belonging to the Mystery;Fiction;Mystery genre."
"4542","The Mysterious Affair at Styles (Hercule Poirot  #1)","Agatha Christie","Mystery;Fiction;Classics;Mystery","2002","A book titled The Mysterious Affair at Styles (Hercule Poirot  #1) written by Agatha Christie belonging to the Mystery;Fiction;Classics;Mystery genre."
"4543","Absent in the Spring and Other Novels (Mary Westmacott Omnibus  #1--Absent in the Spring  Giant's Bread  The Rose and the Yew Tree)","Mary Westmacott/Agatha Christie","Fiction;Mystery;Short Stories","2001","A book titled Absent in the Spring and Other Novels (Mary Westmacott Omnibus  #1--Absent in the Spring  Giant's Bread  The Rose and the Yew Tree) written by Mary Westmacott/Agatha Christie belonging to the Fiction;Mystery;Short Stories genre."
"4544","Hercule Poirot's Christmas (Hercule Poirot  #20)","Agatha Christie","Mystery;Fiction;Holiday","2001","A book titled Hercule Poirot's Christmas (Hercule Poirot  #20) written by Agatha Christie belonging to the Mystery;Fiction;Holiday genre."
"4545","Black Coffee (Hercule Poirot  #45.5)","Charles Osborne/Agatha Christie","Mystery;Fiction;Mystery","1999","A book titled Black Coffee (Hercule Poirot  #45.5) written by Charles Osborne/Agatha Christie belonging to the Mystery;Fiction;Mystery genre."
"4546","Hercule Poirot's Christmas: A BBC Radio 4 Full-Cast Dramatisation","Agatha Christie/Michael Bakewell/Peter Sallis/Cyril Luckham/Edward De Souza/Rachel Gurney/Nicky Henson/Deryck Guyler","Mystery;Audiobook;Holiday","2001","A book titled Hercule Poirot's Christmas: A BBC Radio 4 Full-Cast Dramatisation written by Agatha Christie/Michael Bakewell/Peter Sallis/Cyril Luckham/Edward De Souza/Rachel Gurney/Nicky Henson/Deryck Guyler belonging to the Mystery;Audiobook;Holiday genre."
"4547","Murder on the Orient Express (Hercule Poirot  #10)","Agatha Christie","Mystery;Classics;Fiction;Mystery","2006","A book titled Murder on the Orient Express (Hercule Poirot  #10) written by Agatha Christie belonging to the Mystery;Classics;Fiction;Mystery genre."
"4548","Death on the Nile (Hercule Poirot  #17)","Agatha Christie","Mystery;Fiction;Classics;Mystery","2007","A book titled Death on the Nile (Hercule Poirot  #17) written by Agatha Christie belonging to the Mystery;Fiction;Classics;Mystery genre."
"4549","Mrs. McGinty's Dead (Hercule Poirot  #30)","Agatha Christie","Mystery;Fiction;Mystery","2002","A book titled Mrs. McGinty's Dead (Hercule Poirot  #30) written by Agatha Christie belonging to the Mystery;Fiction;Mystery genre."
"4550","The Most of P.G. Wodehouse","P.G. Wodehouse","Fiction;Humor;Classics;Short Stories;Humor","2000","A book titled The Most of P.G. Wodehouse written by P.G. Wodehouse belonging to the Fiction;Humor;Classics;Short Stories;Humor genre."
"4551","Full Moon (Blandings Castle  #7)","P.G. Wodehouse","Fiction;Humor;Classics;Humor","2006","A book titled Full Moon (Blandings Castle  #7) written by P.G. Wodehouse belonging to the Fiction;Humor;Classics;Humor genre."
"4552","How Right You Are  Jeeves (Jeeves  #12)","P.G. Wodehouse","Fiction;Humor;Classics;Humor","2000","A book titled How Right You Are  Jeeves (Jeeves  #12) written by P.G. Wodehouse belonging to the Fiction;Humor;Classics;Humor genre."
"4553","Life With Jeeves (Jeeves  #6  2  & 4)","P.G. Wodehouse","Fiction;Humor;Classics;European Literature","1983","A book titled Life With Jeeves (Jeeves  #6  2  & 4) written by P.G. Wodehouse belonging to the Fiction;Humor;Classics;European Literature genre."
"4554","Spring Fever","P.G. Wodehouse","Fiction;Humor;Classics;European Literature","2004","A book titled Spring Fever written by P.G. Wodehouse belonging to the Fiction;Humor;Classics;European Literature genre."
"4555","Carry On  Jeeves (Jeeves  #3)","P.G. Wodehouse","Fiction;Humor;Classics;Short Stories;Humor","2003","A book titled Carry On  Jeeves (Jeeves  #3) written by P.G. Wodehouse belonging to the Fiction;Humor;Classics;Short Stories;Humor genre."
"4556","Lord Emsworth and Others (Blandings Castle  #5.5)","P.G. Wodehouse","Humor;Fiction;Short Stories;Classics;Humor","2002","A book titled Lord Emsworth and Others (Blandings Castle  #5.5) written by P.G. Wodehouse belonging to the Humor;Fiction;Short Stories;Classics;Humor genre."
"4557","The Mating Season (Jeeves  #9)","P.G. Wodehouse","Fiction;Humor;Classics;Humor","2002","A book titled The Mating Season (Jeeves  #9) written by P.G. Wodehouse belonging to the Fiction;Humor;Classics;Humor genre."
"4558","Thank You  Jeeves (Jeeves  #5)","P.G. Wodehouse","Fiction;Humor;Classics;Humor","2003","A book titled Thank You  Jeeves (Jeeves  #5) written by P.G. Wodehouse belonging to the Fiction;Humor;Classics;Humor genre."
"4559","Big Money","P.G. Wodehouse","Fiction;Humor;Classics;Humor","1991","A book titled Big Money written by P.G. Wodehouse belonging to the Fiction;Humor;Classics;Humor genre."
"4560","Much Obliged  Jeeves","P.G. Wodehouse","Fiction;Humor;Classics;Humor","2004","A book titled Much Obliged  Jeeves written by P.G. Wodehouse belonging to the Fiction;Humor;Classics;Humor genre."
"4561","The Inimitable Jeeves (Jeeves  #2)","P.G. Wodehouse","Fiction;Humor;Classics;Humor","2000","A book titled The Inimitable Jeeves (Jeeves  #2) written by P.G. Wodehouse belonging to the Fiction;Humor;Classics;Humor genre."
"4562","Thank You  Jeeves","P.G. Wodehouse/Jonathan Cecil","Fiction;Humor;Classics;Humor","2005","A book titled Thank You  Jeeves written by P.G. Wodehouse/Jonathan Cecil belonging to the Fiction;Humor;Classics;Humor genre."
"4563","Money in the Bank","P.G. Wodehouse","Fiction;Humor;Humor","2005","A book titled Money in the Bank written by P.G. Wodehouse belonging to the Fiction;Humor;Humor genre."
"4564","The Luck of the Bodkins","P.G. Wodehouse","Fiction;Humor;Classics;Humor","2002","A book titled The Luck of the Bodkins written by P.G. Wodehouse belonging to the Fiction;Humor;Classics;Humor genre."
"4565","Joy in the Morning","P.G. Wodehouse/Chris Miller","Fiction;Humor;Classics;Humor","1998","A book titled Joy in the Morning written by P.G. Wodehouse/Chris Miller belonging to the Fiction;Humor;Classics;Humor genre."
"4566","The Labours of Hercules (Hercule Poirot  #27)","Agatha Christie/Hugh Fraser","Mystery;Fiction;Mystery","2005","A book titled The Labours of Hercules (Hercule Poirot  #27) written by Agatha Christie/Hugh Fraser belonging to the Mystery;Fiction;Mystery genre."
"4567","Dead Man's Folly (Hercule Poirot  #33)","Agatha Christie","Mystery;Fiction;Mystery","2008","A book titled Dead Man's Folly (Hercule Poirot  #33) written by Agatha Christie belonging to the Mystery;Fiction;Mystery genre."
"4568","Hercule Poirot's Casebook (Hercule Poirot  #42)","Agatha Christie","Mystery;Fiction;Short Stories;Mystery","1998","A book titled Hercule Poirot's Casebook (Hercule Poirot  #42) written by Agatha Christie belonging to the Mystery;Fiction;Short Stories;Mystery genre."
"4569","The Husband","Dean Koontz","Thriller;Fiction;Horror;Mystery;Suspense;Thriller","2006","A book titled The Husband written by Dean Koontz belonging to the Thriller;Fiction;Horror;Mystery;Suspense;Thriller genre."
"4570","City of Night (Dean Koontz's Frankenstein  #2)","Dean Koontz/Ed Gorman","Horror;Fiction;Thriller;Fantasy;Science Fiction;Mystery;Suspense;Fantasy","2005","A book titled City of Night (Dean Koontz's Frankenstein  #2) written by Dean Koontz/Ed Gorman belonging to the Horror;Fiction;Thriller;Fantasy;Science Fiction;Mystery;Suspense;Fantasy genre."
"4571","Sole Survivor","Dean Koontz","Horror;Fiction;Thriller;Mystery;Suspense;Thriller","2006","A book titled Sole Survivor written by Dean Koontz belonging to the Horror;Fiction;Thriller;Mystery;Suspense;Thriller genre."
"4572","Forever Odd (Odd Thomas  #2)","Dean Koontz","Horror;Fiction;Fantasy;Thriller;Mystery;Fantasy","2006","A book titled Forever Odd (Odd Thomas  #2) written by Dean Koontz belonging to the Horror;Fiction;Fantasy;Thriller;Mystery;Fantasy genre."
"4573","Life Expectancy","Dean Koontz","Horror;Fiction;Thriller;Mystery;Suspense;Fantasy;Thriller","2005","A book titled Life Expectancy written by Dean Koontz belonging to the Horror;Fiction;Thriller;Mystery;Suspense;Fantasy;Thriller genre."
"4574","The Raphael Affair (Jonathan Argyll  #1)","Iain Pears","Mystery;Fiction;Art;Cultural","2001","A book titled The Raphael Affair (Jonathan Argyll  #1) written by Iain Pears belonging to the Mystery;Fiction;Art;Cultural genre."
"4575","The Dream of Scipio","Iain Pears","Historical","2003","A book titled The Dream of Scipio written by Iain Pears belonging to the Historical genre."
"4576","Welcome to the Great Mysterious","Lorna Landvik","Fiction;Womens Fiction","2002","A book titled Welcome to the Great Mysterious written by Lorna Landvik belonging to the Fiction;Womens Fiction genre."
"4577","Oh My Stars","Lorna Landvik","Fiction;Historical","2006","A book titled Oh My Stars written by Lorna Landvik belonging to the Fiction;Historical genre."
"4578","Your Oasis on Flame Lake","Lorna Landvik","Fiction;Womens Fiction","1998","A book titled Your Oasis on Flame Lake written by Lorna Landvik belonging to the Fiction;Womens Fiction genre."
"4579","Patty Jane's House of Curl","Lorna Landvik/Mechtild Sandberg-Ciletti/Mechtild Ciletti","Fiction;Womens Fiction","1999","A book titled Patty Jane's House of Curl written by Lorna Landvik/Mechtild Sandberg-Ciletti/Mechtild Ciletti belonging to the Fiction;Womens Fiction genre."
"4580","The Tall Pine Polka / Your Oasis on Flame Lake","Lorna Landvik","Fiction","2005","A book titled The Tall Pine Polka / Your Oasis on Flame Lake written by Lorna Landvik belonging to the Fiction genre."
"4581","Anne's House Of Dreams","L.M. Montgomery","Classics;Fiction;Young Adult;Historical","2006","A book titled Anne's House Of Dreams written by L.M. Montgomery belonging to the Classics;Fiction;Young Adult;Historical genre."
"4582","Poirot: The Complete Ariadne Oliver  Vol. 2","Agatha Christie","Mystery;Fiction;Mystery","2005","A book titled Poirot: The Complete Ariadne Oliver  Vol. 2 written by Agatha Christie belonging to the Mystery;Fiction;Mystery genre."
"4583","The Phantom Tollbooth","Norton Juster/Jules Feiffer","Fantasy;Fiction;Classics;Childrens;Young Adult;Childrens","2000","A book titled The Phantom Tollbooth written by Norton Juster/Jules Feiffer belonging to the Fantasy;Fiction;Classics;Childrens;Young Adult;Childrens genre."
"4584","The Sixth Book of Lost Swords: Mindsword's Story (Lost Swords  #6)","Fred Saberhagen","Fantasy;Fiction;Science Fiction;Fantasy","1991","A book titled The Sixth Book of Lost Swords: Mindsword's Story (Lost Swords  #6) written by Fred Saberhagen belonging to the Fantasy;Fiction;Science Fiction;Fantasy genre."
"4585","The Fourth Book of Lost Swords: Farslayer's Story (Lost Swords  #4)","Fred Saberhagen","Fantasy;Fiction;Science Fiction;Fantasy","1990","A book titled The Fourth Book of Lost Swords: Farslayer's Story (Lost Swords  #4) written by Fred Saberhagen belonging to the Fantasy;Fiction;Science Fiction;Fantasy genre."
"4586","Berserkers: The Beginning (Berserkers  #1 & #5)","Fred Saberhagen","Science Fiction;Audiobook;Fiction;Space","1998","A book titled Berserkers: The Beginning (Berserkers  #1 & #5) written by Fred Saberhagen belonging to the Science Fiction;Audiobook;Fiction;Space genre."
"4587","The Last Book of Swords: Shieldbreaker's Story (Lost Swords  #8)","Fred Saberhagen","Fantasy;Fiction;Science Fiction;Science Fiction Fantasy;Heroic Fantasy","1995","A book titled The Last Book of Swords: Shieldbreaker's Story (Lost Swords  #8) written by Fred Saberhagen belonging to the Fantasy;Fiction;Science Fiction;Science Fiction Fantasy;Heroic Fantasy genre."
"4588","Ariadne's Web (Book of the Gods  #2)","Fred Saberhagen","Fantasy;Fiction;Fantasy","2001","A book titled Ariadne's Web (Book of the Gods  #2) written by Fred Saberhagen belonging to the Fantasy;Fiction;Fantasy genre."
"4589","The Arms of Hercules (Book of the Gods  #3)","Fred Saberhagen","Fantasy;Fiction;Fantasy","2002","A book titled The Arms of Hercules (Book of the Gods  #3) written by Fred Saberhagen belonging to the Fantasy;Fiction;Fantasy genre."
"4590","Berserker: Blue Death (Berserker  #8)","Fred Saberhagen","Science Fiction;Fiction;Science Fiction Fantasy;Audiobook;Fantasy","1987","A book titled Berserker: Blue Death (Berserker  #8) written by Fred Saberhagen belonging to the Science Fiction;Fiction;Science Fiction Fantasy;Audiobook;Fantasy genre."
"4591","Daughter of Fortune","Isabel Allende/Margaret Sayers Peden","Historical","2006","A book titled Daughter of Fortune written by Isabel Allende/Margaret Sayers Peden belonging to the Historical genre."
"4592","My Invented Country: A Nostalgic Journey Through Chile","Isabel Allende","Nonfiction;Autobiography","2003","A book titled My Invented Country: A Nostalgic Journey Through Chile written by Isabel Allende belonging to the Nonfiction;Autobiography genre."
"4593","Aphrodite: A Memoir of the Senses","Isabel Allende/Robert Shekter/Panchita Llona","Nonfiction;Food and Drink","1999","A book titled Aphrodite: A Memoir of the Senses written by Isabel Allende/Robert Shekter/Panchita Llona belonging to the Nonfiction;Food and Drink genre."
"4594","Of Love and Shadows","Isabel Allende/Margaret Sayers Peden","Fiction;Historical","2005","A book titled Of Love and Shadows written by Isabel Allende/Margaret Sayers Peden belonging to the Fiction;Historical genre."
"4595","Strange Relations","Philip José Farmer","Science Fiction;Fiction;Fantasy;Short Stories;Science Fiction Fantasy;Speculative Fiction;Anthologies","2006","A book titled Strange Relations written by Philip José Farmer belonging to the Science Fiction;Fiction;Fantasy;Short Stories;Science Fiction Fantasy;Speculative Fiction;Anthologies genre."
